"setting","method","mrts_k","parameter","n_datasets","mean_post_mean","median_post_mean","sd_post_mean","mean_post_sd"
3,2,20,"lambda",10,0.581071748247609,0.505386020699315,0.267073461979709,0.252451350041657
3,2,25,"lambda",10,0.57929817013054,0.501258744952918,0.27319195707262,0.253610479524667
3,4,0,"lambda",10,0.00724543886653343,0.00553926610671479,0.00643557172798296,0.0314005906568989
3,4,3,"lambda",10,0.00984835375289967,0.00500415432939057,0.0146429600067623,0.0319622289864512
3,4,5,"lambda",10,0.00617761321983986,0.00487140616486752,0.00484414170301214,0.0320927338424638
3,4,8,"lambda",10,0.00729565600103837,0.00573274977841647,0.00780216800165834,0.0325625649394602
3,4,10,"lambda",10,0.0053843502695748,0.00591396948936467,0.00322957336690026,0.0312043602754265
3,4,12,"lambda",10,0.00492296204873847,0.00478087692367189,0.00288270964135722,0.0315877032615186
3,4,15,"lambda",10,0.00564782645090157,0.00447413697954151,0.00378696865008728,0.0311684254244893
3,4,20,"lambda",10,0.00681219122629629,0.00632749664579927,0.00298467927760296,0.03195636165309
3,4,25,"lambda",10,0.00636743079335665,0.00506023264551122,0.00482141512036568,0.0314052054737207
